Line Number,Latitude,Longitude
245,37.02178,-122.04314
246,37.02183,-122.04312
247,37.022,-122.04305
248,37.02204,-122.04303
249,37.02217,-122.04299
250,37.0223,-122.04295
251,37.02235,-122.04294
252,37.02249,-122.04293
253,37.02253,-122.04293
254,37.02264,-122.04294
255,37.02271,-122.04315
256,37.02272,-122.04318
257,37.02281,-122.04334
258,37.02291,-122.04352
259,37.02296,-122.04362
260,37.02302,-122.0437
261,37.02312,-122.04388
262,37.02313,-122.04388
263,37.02319,-122.04409
264,37.02321,-122.04415
265,37.02325,-122.0443
266,37.0233,-122.04443
267,37.02333,-122.0445
268,37.02336,-122.04455
269,37.02342,-122.04461
270,37.02345,-122.04468
271,37.02346,-122.0447
272,37.02351,-122.04486
273,37.02353,-122.04486
274,37.02355,-122.04487
275,37.02359,-122.04486
276,37.02361,-122.04483
277,37.02363,-122.04476
278,37.02364,-122.04472
279,37.02365,-122.04464
280,37.02367,-122.04455
281,37.0237,-122.04452
282,37.02376,-122.04445
283,37.02384,-122.04438
284,37.02386,-122.04436
285,37.02394,-122.0443
286,37.024,-122.04426
287,37.02402,-122.04424
288,37.02406,-122.04422
289,37.02413,-122.04421
290,37.02419,-122.04419
291,37.02424,-122.04415
292,37.02428,-122.04415
293,37.02431,-122.04416
294,37.02434,-122.04419
295,37.0244,-122.04434
296,37.02441,-122.04438
297,37.02441,-122.04439
298,37.02444,-122.04443
299,37.02447,-122.04446
300,37.0245,-122.04455
301,37.02451,-122.04456
302,37.02455,-122.04468
303,37.02456,-122.04477
304,37.02458,-122.04486
305,37.02461,-122.04499
306,37.02465,-122.04508
307,37.02474,-122.04512
308,37.02485,-122.04519
309,37.02502,-122.04531
310,37.02519,-122.04544
311,37.02521,-122.04545
312,37.02527,-122.04547
313,37.02539,-122.04548
314,37.0254,-122.04548
315,37.0255,-122.04547
316,37.02565,-122.04544
317,37.02582,-122.04538
318,37.02589,-122.04535
319,37.02592,-122.04536
320,37.02594,-122.04536
321,37.02599,-122.0454
322,37.02591,-122.04548
323,37.02588,-122.04553
324,37.02584,-122.0456
325,37.02584,-122.04568
326,37.02587,-122.04575
327,37.02592,-122.0458
328,37.02596,-122.04583
329,37.02601,-122.04587
330,37.02606,-122.0459
331,37.02611,-122.04593
332,37.0261,-122.046
333,37.02611,-122.04607
334,37.02613,-122.0461
335,37.02615,-122.04613
336,37.02616,-122.04615
337,37.02621,-122.04626
338,37.02624,-122.04635
339,37.02628,-122.04647
340,37.02631,-122.04656
341,37.02633,-122.04663
342,37.02636,-122.04677
343,37.02637,-122.04683
344,37.0264,-122.04697
345,37.0264,-122.04699
346,37.02644,-122.04713
347,37.02645,-122.04721
348,37.02645,-122.04723
349,37.02646,-122.04732
350,37.02647,-122.0474
351,37.02648,-122.04743
352,37.02648,-122.04747
353,37.02647,-122.04756
354,37.02646,-122.04765
355,37.02646,-122.04767
356,37.02644,-122.04778
357,37.02641,-122.04787
358,37.0264,-122.04787
359,37.02636,-122.04798
360,37.02631,-122.04806
361,37.02624,-122.04814
362,37.02617,-122.04819
363,37.02616,-122.0482
364,37.02609,-122.04828
365,37.02605,-122.04836
366,37.02603,-122.0484
367,37.02596,-122.04855
368,37.02596,-122.04856
369,37.02592,-122.04867
370,37.02589,-122.04877
371,37.02584,-122.04885
372,37.0258,-122.04894
373,37.02579,-122.04895
374,37.02576,-122.04905
375,37.02573,-122.04916
376,37.02571,-122.04921
377,37.02566,-122.04932
378,37.02564,-122.04936
379,37.0256,-122.04945
380,37.02554,-122.04955
381,37.02547,-122.04965
382,37.02539,-122.04975
383,37.02529,-122.04984
384,37.02528,-122.04985
385,37.02521,-122.0499
386,37.02513,-122.04993
387,37.02512,-122.04994
388,37.02509,-122.04994
389,37.02504,-122.04995
390,37.02502,-122.04996
391,37.02498,-122.05003
392,37.02497,-122.05004
393,37.02492,-122.05012
394,37.02487,-122.0502
395,37.02486,-122.05022
396,37.02485,-122.05025
