Line Number,Latitude,Longitude
259,36.99932,-122.04906
260,36.99931,-122.04906
261,36.99914,-122.04908
262,36.99907,-122.04909
263,36.99897,-122.04915
264,36.99893,-122.04917
265,36.9988,-122.04923
266,36.99864,-122.0493
267,36.99863,-122.0493
268,36.99846,-122.04937
269,36.99831,-122.04943
270,36.99829,-122.04944
271,36.99828,-122.04944
272,36.99811,-122.0495
273,36.99794,-122.04956
274,36.99782,-122.04961
275,36.99777,-122.04964
276,36.9976,-122.04972
277,36.99746,-122.0498
278,36.99744,-122.04981
279,36.99728,-122.04991
280,36.99723,-122.04994
281,36.99713,-122.05003
282,36.99712,-122.05003
283,36.99701,-122.05012
