Line Number,Latitude,Longitude,Trail ID
212,36.95814,-122.08454,8
213,36.95809,-122.08453,8
214,36.95802,-122.08451,8
215,36.958,-122.08451,8
216,36.95796,-122.08449,8
217,36.95788,-122.08446,8
218,36.95771,-122.08439,8
219,36.95768,-122.08437,8
220,36.95763,-122.08435,8
221,36.95759,-122.08434,8
222,36.95745,-122.08428,8
223,36.95733,-122.08423,8
224,36.95725,-122.0842,8
225,36.95709,-122.08414,8
226,36.957,-122.08411,8
227,36.95699,-122.0841,8
228,36.95693,-122.08409,8
229,36.95685,-122.08406,8
230,36.95682,-122.08404,8
231,36.95677,-122.08402,8
232,36.95674,-122.08397,8
233,36.9567,-122.08391,8
234,36.95669,-122.08389,8
235,36.95668,-122.08384,8
236,36.95666,-122.0838,8
237,36.95665,-122.08374,8
238,36.95664,-122.08365,8
239,36.95663,-122.08354,8
240,36.95662,-122.08345,8
241,36.95661,-122.08342,8
242,36.9566,-122.0833,8
243,36.95659,-122.08323,8
244,36.95658,-122.08314,8
245,36.95657,-122.083,8
246,36.95657,-122.08299,8
247,36.95655,-122.08286,8
248,36.95653,-122.08278,8
249,36.95652,-122.08273,8
250,36.95649,-122.08268,8
251,36.95646,-122.08264,8
252,36.95642,-122.08262,8
253,36.9564,-122.08262,8
254,36.95636,-122.08262,8
255,36.95627,-122.08262,8
256,36.95619,-122.08264,8
257,36.95603,-122.08266,8
258,36.95601,-122.08266,8
259,36.95583,-122.08268,8
260,36.95577,-122.08269,8
261,36.95571,-122.0827,8
262,36.95565,-122.08271,8
263,36.95557,-122.08272,8
264,36.95535,-122.0827,8
265,36.95534,-122.0827,8
266,36.95529,-122.08269,8
267,36.95521,-122.08267,8
268,36.95518,-122.08264,8
269,36.95513,-122.08261,8
270,36.95508,-122.08257,8
271,36.95503,-122.08251,8
272,36.95492,-122.08234,8
273,36.95488,-122.08229,8
274,36.95487,-122.08228,8
275,36.95479,-122.08217,8
276,36.95476,-122.08212,8
277,36.95467,-122.08201,8
278,36.95466,-122.082,8
279,36.95463,-122.08196,8
280,36.95459,-122.0819,8
281,36.95455,-122.08184,8
282,36.95443,-122.08166,8
283,36.95442,-122.08165,8
284,36.95443,-122.08166,8
285,36.95455,-122.08184,8
286,36.95459,-122.0819,8
287,36.95463,-122.08196,8
288,36.95466,-122.082,8
289,36.95467,-122.08201,8
290,36.95476,-122.08212,8
291,36.95479,-122.08217,8
292,36.95487,-122.08228,8
293,36.95488,-122.08229,8
294,36.95492,-122.08234,8
295,36.95503,-122.08251,8
296,36.95508,-122.08257,8
297,36.95513,-122.08261,8
298,36.95518,-122.08264,8
299,36.95521,-122.08267,8
300,36.95529,-122.08269,8
301,36.95534,-122.0827,8
302,36.95535,-122.0827,8
303,36.95557,-122.08272,8
304,36.95565,-122.08271,8
305,36.95571,-122.0827,8
306,36.95577,-122.08269,8
307,36.95583,-122.08268,8
308,36.95601,-122.08266,8
309,36.95603,-122.08266,8
310,36.95619,-122.08264,8
311,36.95627,-122.08262,8
312,36.95636,-122.08262,8
313,36.9564,-122.08262,8
314,36.95642,-122.08262,8
315,36.95646,-122.08264,8
316,36.95649,-122.08268,8
317,36.95652,-122.08273,8
318,36.95653,-122.08278,8
319,36.95655,-122.08286,8
320,36.95657,-122.08299,8
321,36.95657,-122.083,8
322,36.95658,-122.08314,8
323,36.95659,-122.08323,8
324,36.9566,-122.0833,8
325,36.95661,-122.08342,8
326,36.95662,-122.08345,8
327,36.95663,-122.08354,8
328,36.95664,-122.08365,8
329,36.95665,-122.08374,8
330,36.95666,-122.0838,8
331,36.95668,-122.08384,8
332,36.95669,-122.08389,8
333,36.9567,-122.08391,8
334,36.95674,-122.08397,8
335,36.95677,-122.08402,8
336,36.95682,-122.08404,8
337,36.95685,-122.08406,8
338,36.95693,-122.08409,8
339,36.95699,-122.0841,8
340,36.957,-122.08411,8
341,36.95709,-122.08414,8
342,36.95725,-122.0842,8
343,36.95733,-122.08423,8
344,36.95745,-122.08428,8
345,36.95759,-122.08434,8
346,36.95763,-122.08435,8
347,36.95768,-122.08437,8
348,36.95771,-122.08439,8
349,36.95788,-122.08446,8
350,36.95796,-122.08449,8
351,36.958,-122.08451,8
352,36.95802,-122.08451,8
353,36.95809,-122.08453,8
354,36.95814,-122.08454,8
355,36.95822,-122.08455,8
356,36.95832,-122.08456,8
357,36.95837,-122.08455,8
358,36.95849,-122.08454,8
359,36.95855,-122.08454,8
360,36.95859,-122.08454,8
361,36.95872,-122.08453,8
362,36.95883,-122.08453,8
363,36.95888,-122.08453,8
364,36.95891,-122.08453,8
365,36.95892,-122.08453,8
366,36.95895,-122.08452,8
367,36.95898,-122.08451,8
368,36.95902,-122.08449,8
369,36.95905,-122.08447,8
370,36.95908,-122.08445,8
